seed,system,task,r2,tier,symbolic,numerical,max_err,ground_truth,found_expression,detail
123,hypatiax,N1,0.9999999999999996,NUMERICAL,False,True,1.0327263463949521e-05,x**3 + x**2 + x,x + (x + x*x)*(x + 4.2074193e-9/cos(1.2872565 + x/((-0.080638744/x)))),simplify≠0 | max_err=1.03e-05 on 1000 pts
123,hypatiax,N2,0.9999999999999999,NUMERICAL,False,True,3.4315852381894274e-09,x**4 + x**3 + x**2 + x,(x - 1*(-0.21818878) + 0.78181124)*(-x + x*(-2.0411552e-8) + x + x + x*x*x),simplify≠0 | max_err=3.43e-09 on 1000 pts
123,hypatiax,N3,0.999999999999998,NUMERICAL,False,True,1.575449388724337e-07,x**5 + x**4 + x**3 + x**2 + x,x*(x*x*x + x)*(x + 0.19107378 - 1*(-0.8089263)) + x - 2.0257804e-9,simplify≠0 | max_err=1.58e-07 on 1000 pts
123,hypatiax,N4,0.9999999999999986,NUMERICAL,False,True,2.0251271770632684e-08,x**6 + x**5 + x**4 + x**3 + x**2 + x,x*(0.99999994**x + x)*(x*x*(x*x + 1.0000001) + 1.0),simplify≠0 | max_err=2.03e-08 on 1000 pts
123,hypatiax,N5,0.9999999907977204,NUMERICAL,False,True,0.00010101726398481503,sin(x**2) * cos(x) - 1,cos(0.9966046*cos(1.24555058193369*x*(-0.25353634*cos(cos(x*sqrt(cos(0.97200245*cos(x**2))))) - 1.103688))) - 1.5431477,simplify≠0 | max_err=1.01e-04 on 1000 pts
123,hypatiax,N6,0.9999999999999999,NUMERICAL,False,True,2.0026294844655013e-08,sin(x) + sin(x + x**2),sin(x) + sin(x*(x + cos(exp(exp(x)))*5.832853e-8) + x),simplify≠0 | max_err=2.00e-08 on 1000 pts
123,hypatiax,N7,0.9999999998862661,NUMERICAL,False,True,3.5356894803495464e-05,log(x + 1) + log(x**2 + 1),x - (-0.45909238)*x**(0.7915831**x)*sin(x**((0.6317663**((x + 0.0044506197)**(0.76610357**(x**(x**(0.095462665/x))))))**,simplify≠0 | max_err=3.54e-05 on 1000 pts
123,hypatiax,N8,0.9999999999999987,NUMERICAL,False,True,2.6625743609898223e-08,sqrt(x),sqrt(3.530708e-8*x*sin(x) + x),simplify≠0 | max_err=2.66e-08 on 1000 pts
123,hypatiax,N9,1.0,NUMERICAL,False,True,6.055214329947489e-09,sin(x) + sin(y**2),y*sin(y*y)/(((y*y - 2.4587768e-8)/y)) + sin(x) - 2.6760453e-8,simplify≠0 | max_err=6.06e-09 on 1000 pts
123,hypatiax,N10,1.0,SYMBOLIC,True,False,nan,2 * sin(x) * cos(y),sin(x)*cos(y)*2.0,"simplify→0 [positive domain, 0.0s]"
